City,Country,Lat,Lng,Date,Humidity,Max Temp,Wind Speed,Cloudiness
Rikitea,PF,-23.12,-134.97,3/18/18,100,80,14.32,56
Tadine,NC,-21.55,167.88,3/18/18,100,77.12,11.07,36
Bredasdorp,ZA,-34.53,20.04,3/18/18,88,62.6,4.7,88
Punta Arenas,CL,-53.16,-70.91,3/18/18,65,44.6,26.4,75
Ekuvukeni,ZA,-28.47,30.16,3/18/18,91,53.18,2.68,24
Lebu,ET,8.96,38.73,3/18/18,77,59,6.93,75
Dikson,RU,73.51,80.55,3/18/18,100,-5.96,34.78,48
Ola,RU,59.58,151.3,3/18/18,49,1.4,13.42,68
Praia da Vitoria,PT,38.73,-27.07,3/18/18,98,62.27,13.53,68
Tessalit,ML,20.2,1.01,3/18/18,20,67.31,9.17,20
Norman Wells,CA,65.28,-126.83,3/18/18,92,14,5.82,90
Octeville,FR,49.63,-1.64,3/18/18,80,35.6,14.99,90
Broome,GB,52.47,1.45,3/18/18,59,33.8,18.34,75
Kapaa,US,22.08,-159.32,3/18/18,100,73.4,5.82,90
Cape Town,ZA,-33.93,18.42,3/18/18,88,66.2,14.99,20
Camacha,PT,33.08,-16.33,3/18/18,77,64.4,10.29,40
Chingirlau,KZ,51.09,54.08,3/18/18,93,17.36,18.45,92
Askino,RU,56.09,56.58,3/18/18,82,7.28,16.22,68
Luau,CD,-10.7,22.23,3/18/18,96,67.76,2.13,20
Port Alfred,ZA,-33.59,26.89,3/18/18,86,70.91,10.18,0
Vaini,IN,15.34,74.49,3/18/18,91,66.59,2.13,8
Nenagh,IE,52.86,-8.2,3/18/18,80,33.8,13.87,75
Batemans Bay,AU,-35.71,150.18,3/18/18,99,61.46,2.13,0
Busselton,AU,-33.64,115.35,3/18/18,100,60.74,13.2,0
Albany,US,42.65,-73.75,3/18/18,30,30.2,13.87,20
Kamenka,RU,53.19,44.05,3/18/18,65,-4.25,6.38,0
Tasiilaq,GL,65.61,-37.64,3/18/18,80,33.8,27.51,92
Saint George,GR,39.45,22.34,3/18/18,44,59,11.41,20
Lubango,AO,-14.92,13.49,3/18/18,98,65.51,1.57,92
Dingle,PH,11,122.67,3/18/18,94,75.5,9.95,44
Lagoa,PT,37.14,-8.45,3/18/18,76,53.6,10.29,0
Dekar,BW,-21.53,21.93,3/18/18,65,72.62,3.58,56
Mahebourg,MU,-20.41,57.7,3/18/18,88,80.6,14.99,40
Kasulu,TZ,-4.57,30.11,3/18/18,91,63.44,2.57,24
Caravelas,BR,-17.73,-39.27,3/18/18,100,82.34,12.86,0
Pervomayskoye,RU,57.07,86.23,3/18/18,80,12.41,7.38,0
Castro,CL,-42.48,-73.76,3/18/18,92,54.44,6.38,92
Ankang,CN,32.73,108.99,3/18/18,100,41.84,2.01,92
Ushuaia,AR,-54.81,-68.31,3/18/18,86,41,18.34,75
Thompson,CA,55.74,-97.86,3/18/18,30,14,4.7,20
Severomuysk,RU,56.17,113.57,3/18/18,38,-15.05,1.79,0
Deputatskiy,RU,69.3,139.9,3/18/18,77,-38.9,2.8,0
Mataura,NZ,-46.19,168.86,3/18/18,64,66.05,17,100
Ambilobe,MG,-13.19,49.05,3/18/18,99,72.98,5.14,92
Naranjal,PY,-25.97,-55.19,3/18/18,52,93.2,4.7,20
Mount Gambier,AU,-37.83,140.78,3/18/18,82,62.99,10.63,92
Jamestown,AU,-33.21,138.6,3/18/18,82,44.09,4.14,0
Hobart,AU,-42.88,147.33,3/18/18,52,66.2,28.86,40
Butaritari,KI,3.07,172.79,3/18/18,100,81.08,7.61,20
Labuhan,ID,-2.54,115.51,3/18/18,96,72.8,2.24,68
Saint-Philippe,CA,45.36,-73.48,3/18/18,29,21.2,6.93,1
Fortuna,ES,38.18,-1.13,3/18/18,47,55.4,16.11,20
Bontang,ID,0.12,117.47,3/18/18,100,80.09,1.9,56
Nanakuli,US,21.39,-158.15,3/18/18,100,80.6,5.82,90
Hermanus,ZA,-34.42,19.24,3/18/18,93,59.57,1.34,80
Bambous Virieux,MU,-20.34,57.76,3/18/18,88,80.6,14.99,40
Amberley,NZ,-43.15,172.73,3/18/18,68,64.4,9.17,12
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,3/18/18,98,81.62,9.73,44
Antofagasta,CL,-23.65,-70.4,3/18/18,64,68,12.75,20
Axim,GH,4.87,-2.24,3/18/18,100,82.07,11.07,8
Sur,OM,22.57,59.53,3/18/18,95,74.33,6.38,0
Torbay,CA,47.66,-52.73,3/18/18,94,32,27.51,90
Nago,IT,45.88,10.89,3/18/18,65,46.4,13.87,40
Igrim,RU,63.19,64.42,3/18/18,70,1.43,5.14,48
Haines Junction,CA,60.75,-137.51,3/18/18,88,28.16,2.68,0
Hofn,IS,64.25,-15.21,3/18/18,89,40.22,11.07,8
Yellowknife,CA,62.45,-114.38,3/18/18,67,19.4,13.87,20
Buffalo,US,42.89,-78.88,3/18/18,59,46.4,16.11,20
New Norfolk,AU,-42.78,147.06,3/18/18,52,66.2,28.86,40
Vila Velha,BR,-3.71,-38.6,3/18/18,74,84.2,10.29,20
Ahipara,NZ,-35.17,173.16,3/18/18,88,69.38,12.86,36
Mehamn,NO,71.03,27.85,3/18/18,79,28.4,10.29,75
Atasu,KZ,48.68,71.64,3/18/18,77,25.19,7.05,20
Santiago,CL,-33.44,-70.65,3/18/18,31,75.2,10.29,0
Zadar,HR,44.12,15.24,3/18/18,70,48.2,11.41,75
Khasan,RU,42.43,130.64,3/18/18,77,31.4,12.97,0
Mar del Plata,AR,-46.43,-67.52,3/18/18,41,67.22,29.75,68
Fort Nelson,CA,58.81,-122.69,3/18/18,51,37.4,4.7,75
Hilo,US,19.71,-155.08,3/18/18,83,75.2,5.82,90
Nikolskoye,RU,59.7,30.79,3/18/18,80,30.2,11.18,20
Kenai,US,60.55,-151.26,3/18/18,93,39.2,8.05,75
Saskylakh,RU,71.97,114.09,3/18/18,41,-26.75,15.66,8
Tuktoyaktuk,CA,69.44,-133.03,3/18/18,76,-9.41,6.93,90
Upernavik,GL,72.79,-56.15,3/18/18,93,5.39,20.24,32
Ginda,IN,30.69,78.49,3/18/18,56,43.19,3.02,8
Houston,US,29.76,-95.37,3/18/18,54,86,5.82,1
Jiwani,PK,25.05,61.74,3/18/18,91,71.45,9.62,0
Fez,MA,34.03,-5.02,3/18/18,93,55.4,10.29,75
Barrow,AR,-38.31,-60.23,3/18/18,100,56.96,16.11,92
Skibbereen,IE,51.55,-9.27,3/18/18,100,32,17.22,75
Ilulissat,GL,69.22,-51.1,3/18/18,51,39.2,16.11,0
Victoria,BN,5.28,115.24,3/18/18,100,78.8,5.7,75
Kendari,ID,-3.99,122.52,3/18/18,94,70.91,2.35,20
Kaeo,NZ,-35.1,173.78,3/18/18,92,67.58,13.2,92
Vila Franca do Campo,PT,37.72,-25.43,3/18/18,100,60.8,10.29,75
Lososina,RU,49,140.31,3/18/18,97,20.51,31.76,80
